Keyword,Category,Target Page,Current Position,Previous Position,Position Change,Impressions,Clicks,CTR (%),Search Volume,Difficulty,Priority,Status,Notes,Last Updated
"cruises from Newark","primary","/cruises/from-newark","","","","","","","","","high","tracking","","2025-09-23"
"cruises from New Jersey","primary","/cruises","","","","","","","","","high","tracking","","2025-09-23"
"Cape Liberty cruises","primary","/cruises/cape-liberty-port","","","","","","","","","high","tracking","","2025-09-23"
"Essex County cruises","primary","/cruises","","","","","","","","","high","tracking","","2025-09-23"
"Newark cruise deals","primary","/cruises/deals","","","","","","","","","high","tracking","","2025-09-23"
"NJ cruise packages","primary","/cruises","","","","","","","","","high","tracking","","2025-09-23"
"cheap cruises from Newark","primary","/cruises/cheap-cruises","","","","","","","","","high","tracking","","2025-09-23"
"last minute cruises Newark","primary","/cruises/last-minute","","","","","","","","","high","tracking","","2025-09-23"
"Caribbean cruises from NJ","primary","/cruises/caribbean","","","","","","","","","high","tracking","","2025-09-23"
"Royal Caribbean Newark","primary","/cruises/royal-caribbean","","","","","","","","","high","tracking","","2025-09-23"
"cruise deals Essex County","secondary","/cruises/deals","","","","","","","","","medium","tracking","","2025-09-23"
"affordable cruises New Jersey","secondary","/cruises/cheap-cruises","","","","","","","","","medium","tracking","","2025-09-23"
"family cruises from Newark","secondary","/cruises","","","","","","","","","medium","tracking","","2025-09-23"
"weekend cruises from NJ","secondary","/cruises","","","","","","","","","medium","tracking","","2025-09-23"
"cruise vacation Newark","secondary","/cruises","","","","","","","","","medium","tracking","","2025-09-23"
"best cruises from New Jersey","secondary","/cruises","","","","","","","","","medium","tracking","","2025-09-23"
"cruise lines Cape Liberty","secondary","/cruises/cape-liberty-port","","","","","","","","","medium","tracking","","2025-09-23"
"Newark to Caribbean cruise","secondary","/cruises/caribbean","","","","","","","","","medium","tracking","","2025-09-23"
"Alaska cruises from Newark","secondary","/cruises/alaska","","","","","","","","","medium","tracking","","2025-09-23"
"Mediterranean cruises from NJ","secondary","/cruises/mediterranean","","","","","","","","","medium","tracking","","2025-09-23"
"best cruise deals from Newark New Jersey","long-tail","/cruises","","","","","","","","","low","tracking","","2025-09-23"
"cheap Caribbean cruises from Cape Liberty","long-tail","/cruises","","","","","","","","","low","tracking","","2025-09-23"
"all inclusive cruises from Newark NJ","long-tail","/cruises","","","","","","","","","low","tracking","","2025-09-23"
"family friendly cruises from New Jersey","long-tail","/cruises","","","","","","","","","low","tracking","","2025-09-23"
"luxury cruises departing Newark","long-tail","/cruises","","","","","","","","","low","tracking","","2025-09-23"
"senior cruise deals from Newark","long-tail","/cruises","","","","","","","","","low","tracking","","2025-09-23"
"group cruises from Essex County","long-tail","/cruises","","","","","","","","","low","tracking","","2025-09-23"
"honeymoon cruises from New Jersey","long-tail","/cruises","","","","","","","","","low","tracking","","2025-09-23"
"spring break cruises Newark","long-tail","/cruises","","","","","","","","","low","tracking","","2025-09-23"
"summer cruises from Cape Liberty","long-tail","/cruises","","","","","","","","","low","tracking","","2025-09-23"
"Newark travel agency cruises","local","/cruises","","","","","","","","","high","tracking","","2025-09-23"
"Essex County cruise planning","local","/cruises","","","","","","","","","high","tracking","","2025-09-23"
"local cruise agent Newark","local","/cruises","","","","","","","","","high","tracking","","2025-09-23"
"cruise booking Newark NJ","local","/cruises","","","","","","","","","high","tracking","","2025-09-23"
"cruise specialists New Jersey","local","/cruises","","","","","","","","","high","tracking","","2025-09-23"
"Newark cruise consultants","local","/cruises","","","","","","","","","high","tracking","","2025-09-23"
"cruise travel agent near me Newark","local","/cruises","","","","","","","","","high","tracking","","2025-09-23"
"book cruise Essex County","local","/cruises","","","","","","","","","high","tracking","","2025-09-23"
"cruise vacation planner NJ","local","/cruises","","","","","","","","","high","tracking","","2025-09-23"
"Newark cruise experts","local","/cruises","","","","","","","","","high","tracking","","2025-09-23"